text1	text2	score
今日も明日も明後日も	折れたのは自信だけじゃなかった	2.33
冬の換気と暖房でお困りの方に	換気も除湿もできるエアコン	3.33
埼玉でお手頃な中古車を買うなら	あんしん信頼のトヨタ品質	3.0
ATMでスピーディにお引出しOK	最大300万円までお借入れ可能	3.0
即日融資も可能なカードローン	最短３０分で審査結果がわかる	3.67
公式：すぐに効果が実感できる	メンズTBCスーパー脱毛	3.0
プログラミングで業務効率化	7日間でプログラミングを習得	3.0
公式：TBCが選ばれる理由とは？	脱毛選びに、迷ったらTBCへ	3.33
細かいデザインや毛量の調整可	今だけ半額500円＜1／13締切＞	3.0
9月号のオススメ締切は9/3	11月号のオススメ締切日は11/15	4.0
往復JR＋ホテル／お得な大阪旅行	大阪ツアーのご予約はこちら	3.0
給付金がもらえるか知りたい	国からの給付金【B型肝炎】	3.0
現代人のためのマットレス	究極のリラックス姿勢を	3.0
つるんとなめらかなまぶしい肌へ	＼FEMMUEのベストセラー美容液／	3.0
濃密なうるおいで、しなやかな肌	【新発売】濃密なうるおい	3.67
乳酸菌が仲間に入って新登場	スーパーフードをまるごと濃縮	3.0
一括見積りで料金比較が可能	決算が面倒で丸投げしたい方に	3.0
Ｖラインのお悩み解決へ	人気のVライン脱毛をお試し体験	3.33
1巻無料コミックが11,856冊以上	新規登録で半額クーポンもらえる	2.67
アニメやドラマの見逃し配信あり	1話無料は登録不要で視聴OK	2.33
病院の換気の悩みを解決	クリニックの換気、大丈夫？	3.67
ワンピース1000話放送記念	1週間消臭＆抗菌	1.0
【最新62巻】大好評配信	【最新巻62巻】大好評配信	5.0
シティタワー品川パークフロント	JR京浜東北線で品川駅まで5分	3.0
今すぐ借りたい、バレたくない	消費者金融ランキング2022最新版	2.33
(TORY BURCH)がアウトレット価格	(TORY BURCH)が最大70%OFF	3.67
ゼクシイ公式サイト	ブライダル情報総合サイト	3.0
バイクの保険比較はこちらから	バイク保険払いすぎかも？	3.33
2週間無料おためし/自宅ﾌｨｯﾄﾈｽ	2週間無料おためし/自宅ジム	4.67
いい買い物の日セール開催中	BLACK FRIDAY開催中	3.67
円定期預金 年0.20%（税引前）	特別金利 年0.20%（税引前）	4.0
ヤフーの新しい働き方の取り組み	ヤフーの新しい働き方	4.33
ラーメンマップでお店を探そう	ラーメンに特化した専用マップ	4.0
2022年春物 新作続々入荷中	新生活を始める人	2.0
【TOEIC対策】スタサプ英語	スタディサプリENGLISH／コーチ	4.0
一般家庭にも対応	ゴリラクリニックのニキビ跡治療	1.67
月々の保険料をシミュレーション	特定の5つのケガには一時金給付	2.33
【工事全国対応】店舗防犯カメラ	店舗用防犯カメラ	4.0
停電時も約4.5日分電気を使える	HV含め多くの車種に対応	1.67
選考なしのインターンシップ多数	インターンシップエントリー予約	3.0
老人ホームならLIFULL介護／公式	入居一時金「0円」特集あり	3.0
EOS Rシリーズのモデル比較	フルサイズ一眼の「EOS R」	3.33
式場探しを応援・キャンペーン中	電子マネーギフトもらえる	2.33
忙しい方におすすめ／24時間受付	24時間即時振込・審査／WEB完結	3.33
結婚式準備なら【ゼクシィ】	ウエディングなら【ゼクシィ】	4.0
四柱推命 / 一部無料	四柱推命 / 無料鑑定あり	4.33
大人のカジュアルスタイル	秋冬セール／1月7日より	2.67
京橋/エクササイズコーチ	京橋駅徒歩1分のパーソナルジム	3.33
オトナ女子胸キュンコミック充実	人気少女コミックもイッキ読み	4.0
【今すぐ】WEBで申込みOK	ご融資をお急ぎの方にもすぐ対応	3.0
初回限定特別価格 4,950円	きれいな文字で新しい自分発見	2.33
30日以内なら最大5万円の補償	費用・口コミでプロを比較	2.67
2020年最新人気ランキング	最もお得なシニア保険はどれ？	3.0
公式：No.1ニキビケア	公式：今なら無料プレゼント付	3.33
紹介会場全国2500以上	利用者数No.1	3.0
不動産AIによる正確な査定が可能	【安心感】お客様満足度92.8％	3.0
出費が重なっている方へ	趣味の軍資金等を借りたい方	3.67
最低価格32万円から	最低価格38.5万円から	4.0
社会保険労務士を目指すなら	特別編 を観るならHulu	1.0
世界中で愛されるコスメブランド	イスラエル発コスメブランド	3.33
手術のご相談は無料	術前の血液検査は無料	3.67
くすみ・しみのない明るさを	肌のくすみでお悩みの方へ	3.67
戦略的な人材育成を実現	次世代リーダー育成の課題を解消	3.67
今なら人気クラスが10～40％オフ	今なら人気クラスが20～30％オフ	4.0
公式：夏から始める美肌脱毛	どこから見られても安心の素肌へ	3.0
フルサイズミラーレスのカメラ	小型軽量のミラーレスカメラ	3.33
独自麻酔技術で痛くない	包茎手術45,000円。【貸切対応】	3.0
ファミュのベストセラーオイル	【100％天然由来の優雅な香り】	3.0
U-NEXTで今すぐ観られる	こだわりの食特集2021	1.33
セカンド洗面満足度98％	ふれずに手洗い	3.0
オダギリジョーが着るTheory	Theory×FORZA STYLE	3.0
「新配合でパワーUP」美容液	60代ハリを諦めない方の美容液	3.33
キャッシングランキング2021夏版	キャッシングランキング2022冬版	4.0
トゥ・ダークネス】2週間無料	【公式】ビズメイツ	1.67
ヒゲのコンプレックスから卒業へ	【今年最後のセール】12／27まで	2.0
男の自分磨きを応援／メンズTBC	【50%OFF】12／3まで500円	3.0
台所には置き型ファブリーズを	置き型ファブリーズ	4.33
ドラ恋の動画を見る	ドラ恋配信・オリジナル作品満載	3.33
TSUTAYAの宅配レンタルサービス	新規ご登録で30日間無料/TSUTAYA	3.0
５０％OFFセール：1／31まで	ヒゲ脱毛体験半額》500円セール	3.67
イラスト制作をプロに依頼	イラスト制作を見積もり依頼	4.0
6月号の最終締切日は5/26	9月号オススメ締切日は8/31	4.0
BNノズルの通販ならミスミ	BNノズルの専用ホームページ	3.67
春物商材入荷・会員特典（無料）	卒業プレゼントを探してる人	2.67
シーズン1～9配信／イッキ見	シーズン1～9配信／2週間無料	3.33
お店のIP電話 / USEN	初期費用・電話本体代が０円	3.0
1/21から無料お試し受付開始	4/15から無料お試し受付開始	4.0
8/25(水)19時からウェビナー開催	9/5(日)11時からウェビナー開催	3.67
8Kビデオ搭載／最高峰の解像度	映画を楽しむなら／dTV【公式】	1.33
人材採用、成功までサポート	中途採用／掲載のご案内	3.0
更新料ゼロ・可変間取りの賃貸	賃貸住宅はブランドで選ぶ時代へ	3.0
動画を観るならTSUTAYA DISCAS	店舗に行く必要なし	3.0
ヒゲ脱毛体験500円：1／13まで	ヒゲ脱毛で好感度アップ	3.0
最新ソファ«2021夏»	トレンドソファー≪2021夏≫	4.0
10万話以上の人気漫画を配信	【無料】漫画10万話以上試し読み	3.67
KUMONの【5月無料体験学習】	【5月無料体験学習受付中】	3.33
おしゃれな春の新作続々入荷	2020秋コーデを今すぐチェック。	3.0
変化する「美しさ」をサポート	花たちの持つ美しさをカタチに	2.67
便利でお得な定期便／送料無料	自宅で白い歯をプロデュース	2.67
10,000円でまずはトライアル	男性専門のフェイシャルエステ	3.0
