label	lp_text	title
inconsistent	テレビショッピングでおなじみのジャパネットがこだわったウォーターサーバーをご提案！富士山の天然水の宅配はじめました。安心・安全・上質な富士山の天然水で生活を変えませんか？	すすめのウォーターサーバー
inconsistent	取扱保険会社数95社。オンライン保険相談では、ご自宅で保険のご相談や見直し、申込までできると好評。お客さま専用の設計書や商品パンフレットを見ながら保険の検討ができます。お客様満足度97.9％。東証プライム市場上場会社が運営する「保険市場」にご相談ください。	人気・安い・保険市場デメリット死亡保険をランキング。年齢と性別を入力して保険料比較も。
consistent	土地売却や査定なら、【住友不動産販売】にお任せください!!住友不動産販売は全国に広がる営業ネットワークによる「地域密着の営業体制」、そして広告戦略からお取引後のアフターフォローまで一貫した「マンツーマンの営業体制」によりお客様にご満足のいただけるサービスをご提供いたします。	墨田区の土地価格、今いくら?
consistent	今おすすめの人気の生命(死亡)保険ランキングを発表！東証プライム市場上場企業が運営する国内最大級の保険選びサイト『保険市場』では、実際にネットや通販で申し込まれた商品をランキングでご紹介！	シュミレーションでアナタの死亡保険の検討が可能。死亡保険の相談、保険選びは保険市場!
inconsistent	貯蓄性のある死亡保険なら、万が一にも、未来への備えにも。終身保険RISEライズのご紹介です。	入院や手術を繰り返した場合も安心！保険のきかない先進医療も通算6.6生命保険ライズまで保障
inconsistent	弥生が丘駅周辺（佐賀県）で賃貸物件を探すなら【スマホでCHINTAI】賃貸アパート・マンションなど不動産賃貸の物件情報を毎日更新！豊富な検索条件で弥生が丘駅付近の部屋探しをサポート。お部屋探し、賃貸住宅情報はもちろん、不動産会社・家賃相場の検索も！【CHINTAIアプリ】【LINEで探すCHINTAIエージェント】	賃貸マンション・アパート・一戸建ての物件掲載数が豊富。女性の弥生が丘賃貸物件を多数ご用意！
inconsistent	土地の購入を検討されている方へ。住友不動産販売のステップ（住友の仲介）では、土地の最新情報から、購入のお手伝い、その際に必要となる知識など、様々な情報を掲載しております。	豊富な実績を持つ住友不動産販売が土地の購入・売却をサポート!資料請求、お問い合わせはこちら
inconsistent	オリックス生命保険株式会社の保険商品ページ。死亡保険FineSave[ファインセーブ](定期保険)の特長・ポイントをご案内しています。ファインセーブは、一定期間の死亡保障をお手頃な保険料で準備できる、掛け捨て型の定期保険。病気でも事故でも災害でも同額の死亡保障です。	ファイン・ファインセーブ保険料
consistent	高知県高知市で賃貸物件を探すなら【スマホでCHINTAI】賃貸アパート・マンションなど不動産賃貸の物件情報を毎日更新！豊富な検索条件で高知市内の部屋探しをサポート。お部屋探し、賃貸住宅情報はもちろん、不動産会社・家賃相場の検索も！【CHINTAIアプリ】【LINEで探すCHINTAIエージェント】	約100種の条件からあなたにマッチした高知の賃貸アパートを選べる・【更新頻度最短5分】
consistent	40年以上にわたって高品質の注文住宅を適正価格でお届けし続けてきたアキュラホームだからこそできる納得の二世帯住宅づくり。お施主さまの理想を叶えた二世帯住宅の事例も紹介中。パンフレットを無料プレゼントしていますのでお気軽にお申し込みください。	3階建て新築二世帯住宅
inconsistent	くらべればメディケア生命！医療保険も死亡保険も！メディケア生命保険の一生涯保険料があがらない、もっとフィットできる医療保険「新メディフィットＡ」と、お手頃な保険料で安心の保障内容の定期保険「メディフィット定期」のご紹介です。	メディフィット保障
inconsistent	入院や手術経験のある方が入りやすいオリックス生命の医療保険サポートと終身保険サポートのご紹介です。	ってどんな保険？
